 (Half Day), (نیم روز)
Budget Distribution Detail,جزئیات توزیع بودجه
Budget Distribution Details,جزئیات توزیع بودجه
Budget Variance Report,گزارش بودجه واريانس
Build Modules,ساخت ماژول
Build Pages,ساخت صفحات
Build Server API,ساخت سرور API
Build Sitemap,ایجاد نقشه سایت
Bulk Email,فله پست الکترونیکی
Bulk Email records.,فله ایمیل ثبت.
Bummer! There are more holidays than working days this month.,Bummer! تعطیلات بیشتر از روز کار این ماه وجود دارد.
Bundle items at time of sale.,موارد بسته نرم افزاری در زمان فروش.
Button,دکمه
Buyer of Goods and Services.,خریدار کالا و خدمات.
Buying,خرید
Buying Settings,تنظیمات خرید
By,توسط
C-FORM/,ج-فرم \/
C-Form,C فرم
C-Form Applicable,ج فرم قابل
C-Form Invoice Detail,ج-فرم فاکتور جزئیات
C-Form No,ج-فرم شماره
CI/2010-2011/,CI\/2010-2011 \/
COMM-,COMM-
CSS,CSS
CUST,CUST
CUSTMUM,CUSTMUM
Calculate Based On,بر اساس محاسبه
Calculate Total Score,محاسبه نمره کل
Calendar,تقویم
Calendar Events,تقویم رویدادها
Call,تماس
Campaign,کمپین
Campaign Name,نام مبارزات انتخاباتی
Can only be exported by users with role 'Report Manager',تنها می تواند توسط کاربران با نقش ' گزارش مدیر ' صادر می شود
Cancel,\""لغو\""
Cancel permission also allows the user to delete a document (if it is not linked to any other document).,لغو مجوز نیز اجازه می دهد تا کاربر به حذف نوشتار (اگر نه به هر سند مرتبط).
Cancelled,لغو شد
Cannot ,نمی باشد
Cannot Update: Incorrect / Expired Link.,قادر به بهنگام درآوری نمی باشد: نادرست \/ منقضی شده لینک.
Cannot Update: Incorrect Password,قادر به بهنگام درآوری نمی باشد: رمز عبور نادرست
Cannot approve leave as you are not authorized to approve leaves on Block Dates.,همانطور که شما مجاز به تایید برگ در تاریخ های بلوک ترک را تأیید نمی.
Cannot change from,از تغییر نیست
Cannot continue.,ادامه نمی باشد.
"Cannot delete Serial No in warehouse. First remove from warehouse, then delete.",شماره سریال در انبار را نمی توان حذف کرد. اول حذف از انبار و سپس حذف.
Cannot edit standard fields,زمینه های استاندارد ویرایش نمی باشد
Cannot map because following condition fails: ,از آنجا که نتواند شرایط زیر نقشه نمی باشد:
"Cannot update a non-exiting record, try inserting.",قرار عدم خروج ضبط، امتحان دادن بهنگام درآوری نمی باشد.
Capacity,ظرفیت
Capacity Units,واحدهای ظرفیت
Carry Forward,حمل به جلو
Carry Forwarded Leaves,حمل برگ هدایت شده
Case No(s) already in use. Please rectify and try again.				Recommended <b>From Case No. = %s</b>,No(s) در حال حاضر در استفاده مورد. اصلاح و دوباره سعی کنید.\u0009\u0009\u0009\u0009توصیه می شود <b>از مورد شماره = %s<\/b>
Cash,پول نقد
Cash Voucher,کوپن های نقدی
Cash/Bank Account,نقدی\/حساب بانک
Category,رده
Category Name,نام دسته
Category of customer as entered in Customer master,مقوله های مشتری به عنوان مشتری اصلی وارد
Cell Number,تعداد سلول
Center,مرکز
"Certain documents should not be changed once final, like an Invoice for example. The final state for such documents is called <b>Submitted</b>. You can restrict which roles can Submit.",برخی از اسناد نباید پس از نهایی مانند فاکتور برای مثال تغییر. دولت نهایی برای اسناد <b>Submitted<\/b> نامیده می شود. شما می توانید محدود که نقش می توانید ارسال کنید.
Change UOM for an Item.,تغییر UOM یک مورد.
Change the starting / current sequence number of an existing series.,شروع \/ فعلی شماره توالی سری موجود را تغییر دهید.
Channel Partner,کانال های همکار
Charge,شارژ
Chargeable,پرداختی
Chart of Accounts,نمودار از حساب
Chart of Cost Centers,نمودار مراكز هزينه
Chat,چت
Check,بررسی
Check / Uncheck roles assigned to the Profile. Click on the Role to find out what permissions that Role has.,بررسی کنید \/ لغو انتخاب نقش های اختصاص یافته به مشخصات. در نقش برای پیدا کردن مجوزهایی که نقش کلیک کنید.
Check all the items below that you want to send in this digest.,همه موارد زیر است که شما می خواهید برای ارسال در این خلاصه را بررسی کنید.
Check how the newsletter looks in an email by sending it to your email.,چگونه خبرنامه می رسد در یک ایمیل با ارسال آن به ایمیل خود را بررسی کنید.
"Check if recurring invoice, uncheck to stop recurring or put proper End Date",اگر تکراری فاکتور، پاک کنید برای جلوگیری از تکرار و یا تاریخ پایان مناسب قرار دهید
"Check if you need automatic recurring invoices. After submitting any sales invoice, Recurring section will be visible.",اگر شما نیاز به خودکار فاکتور در محدوده زمانی معین را بررسی کنید. پس از ارسال هر فاکتور فروش Recurring بخش قابل دیدن خواهد بود.
Check if you want to send salary slip in mail to each employee while submitting salary slip,بررسی کنید اگر شما می خواهید برای ارسال لغزش حقوق و دستمزد در پست الکترونیکی به هر یک از کارکنان در حالی که لغزش حقوق و دستمزد ارسال
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,اگر می خواهید به زور کاربر برای انتخاب یک سری قبل از ذخیره کردن این را بررسی کنید. وجود خواهد داشت هیچ پیش فرض اگر شما این را بررسی کنید.
Check this if you want to send emails as this id only (in case of restriction by your email provider).,این بررسی کنید اگر شما می خواهید برای ارسال ایمیل به عنوان شناسه این تنها (در صورت محدودیت ارائه دهنده ایمیل شما).
Check this if you want to show in website,این را بررسی کنید اگر شما می خواهید برای نشان دادن در وب سایت
Check this to disallow fractions. (for Nos),بررسی این فراکسیون نشدن. (برای Nos)
Check this to make this the default letter head in all prints,این به این سر نامه پیش فرض در همه چاپ چک
Check this to pull emails from your mailbox,بررسی این ایمیل را از صندوق پستی خود بکشید
Check to activate,بررسی برای فعال کردن
Check to make Shipping Address,چک به آدرس حمل و نقل
Check to make primary address,چک به آدرس اولیه
Checked,چک
Cheque,چک
Cheque Date,تاریخ چک
Cheque Number,شماره چک
Child Tables are shown as a Grid in other DocTypes.,کودک جدول به عنوان یک شبکه در دیگر DocTypes نشان داده شده است.
City,شهر
City/Town,شهر\/شهر
Claim Amount,ادعای مبلغ
Claims for company expense.,ادعای شرکت هزینه.
Class / Percentage,کلاس \/ درصد
Classic,کلاسیک
Classification of Customers by region,طبقه بندی مشتریان منطقه
Clear Cache & Refresh,پاک کردن کش & تازه
Clear Table,پاک
Clearance Date,تاریخ ترخیص کالا از گمرک
"Click on ""Get Latest Updates""",بر روی «دریافت آخرین به روز رسانی» کلیک کنید
Click on 'Make Sales Invoice' button to create a new Sales Invoice.,روی دکمه 'را به فروش فاکتور' ایجاد فاکتور فروش جدید کلیک کنید.
Click on button in the 'Condition' column and select the option 'User is the creator of the document',کلیک بر روی دکمه در ستون 'شرط' و انتخاب 'کاربر خالق سند است'
